선수명,팀명,타율,0OUT,1OUT,2OUT,주자 유,주자 유 + 0OUT,주자 유 + 1OUT,주자 유 + 2OUT,주자 무,주자 무 + 0OUT,주자 무 + 1OUT,주자 무 + 2OUT,TUE,WED,THU,FRI,SAT,SUN,홈 경기장,원정 경기장,variance*100
김현수,LG,0.286,0.267,0.283,0.303,0.289,0.362,0.266,0.276,0.283,0.207,0.327,0.33,0.359,0.275,0.247,0.29,0.253,0.286,0.262,0.31,0.137
김현준,삼성,0.275,0.275,0.306,0.303,0.29,0.2,0.319,0.315,0.267,0.293,0.297,0.156,0.18,0.259,0.279,0.318,0.266,0.333,0.268,0.283,0.215
김혜성,키움,0.318,0.316,0.339,0.242,0.328,0.359,0.396,0.252,0.307,0.291,0.281,0.382,0.353,0.308,0.315,0.298,0.34,0.288,0.307,0.327,0.148
김휘집,키움,0.222,0.208,0.322,0.296,0.199,0.184,0.349,0.12,0.243,0.222,0.307,0.154,0.298,0.19,0.231,0.185,0.308,0.106,0.215,0.229,0.445
나성범,KIA,0.32,0.347,0.254,0.354,0.3,0.339,0.254,0.327,0.341,0.352,0.254,0.382,0.299,0.242,0.37,0.333,0.318,0.35,0.296,0.344,0.17
노수광,한화,0.229,0.277,0.202,0.209,0.25,0.24,0.229,0.269,0.217,0.289,0.188,0.159,0.304,0.13,0.267,0.282,0.2,0.204,0.224,0.234,0.195
노시환,한화,0.281,0.241,0.336,0.278,0.33,0.24,0.316,0.398,0.236,0.241,0.367,0.132,0.281,0.273,0.27,0.246,0.304,0.325,0.311,0.248,0.33
노진혁,NC,0.28,0.3,0.257,0.283,0.308,0.321,0.288,0.32,0.251,0.287,0.222,0.222,0.192,0.324,0.23,0.342,0.26,0.306,0.314,0.256,0.166
류지혁,KIA,0.277,0.302,0.303,0.224,0.266,0.296,0.293,0.233,0.283,0.304,0.314,0.213,0.353,0.176,0.266,0.26,0.297,0.32,0.289,0.265,0.168
마티니,NC,0.3,0.346,0.294,0.25,0.305,0.345,0.359,0.232,0.295,0.346,0.218,0.283,0.378,0.292,0.359,0.302,0.221,0.25,0.292,0.309,0.223
문보경,LG,0.315,0.341,0.292,0.313,0.317,0.325,0.286,0.342,0.313,0.347,0.299,0.273,0.292,0.38,0.233,0.339,0.279,0.355,0.294,0.335,0.114
문성주,LG,0.303,0.337,0.289,0.284,0.255,0.22,0.264,0.27,0.347,0.413,0.307,0.313,0.189,0.26,0.38,0.29,0.351,0.345,0.294,0.31,0.278
박건우,NC,0.336,0.361,0.356,0.299,0.354,0.34,0.429,0.28,0.317,0.375,0.235,0.316,0.403,0.4,0.264,0.254,0.29,0.4,0.345,0.327,0.283
박동원,KIA,0.244,0.256,0.206,0.264,0.223,0.237,0.227,0.213,0.257,0.264,0.185,0.34,0.308,0.303,0.222,0.214,0.216,0.203,0.228,0.255,0.152
박민우,NC,0.267,0.25,0.306,0.246,0.264,0.233,0.288,0.255,0.268,0.254,0.323,0.238,0.22,0.266,0.271,0.256,0.358,0.224,0.273,0.26,0.109
박병호,KT,0.275,0.329,0.279,0.224,0.287,0.417,0.333,0.218,0.264,0.3,0.22,0.235,0.338,0.338,0.208,0.219,0.347,0.175,0.244,0.308,0.371
박성한,SSG,0.298,0.286,0.303,0.305,0.34,0.34,0.324,0.352,0.267,0.264,0.288,0.238,0.347,0.286,0.325,0.3,0.253,0.263,0.329,0.269,0.113
박세혁,두산,0.248,0.246,0.237,0.261,0.269,0.179,0.265,0.309,0.233,0.267,0.217,0.191,0.218,0.228,0.345,0.231,0.262,0.204,0.213,0.28,0.155
박찬호,KIA,0.272,0.325,0.26,0.206,0.268,0.351,0.324,0.186,0.273,0.319,0.203,0.236,0.217,0.333,0.241,0.278,0.304,0.236,0.294,0.249,0.225
박해민,LG,0.289,0.296,0.316,0.247,0.282,0.32,0.338,0.212,0.295,0.285,0.302,0.309,0.303,0.389,0.26,0.308,0.277,0.21,0.288,0.291,0.159
배정대,KT,0.266,0.272,0.246,0.285,0.266,0.255,0.306,0.238,0.266,0.281,0.211,0.344,0.238,0.259,0.269,0.291,0.348,0.2,0.267,0.264,0.132
소크라테스,KIA,0.311,0.314,0.305,0.315,0.331,0.356,0.322,0.327,0.294,0.298,0.289,0.292,0.328,0.36,0.256,0.37,0.326,0.233,0.329,0.295,0.106
손아섭,NC,0.277,0.296,0.262,0.267,0.318,0.372,0.3,0.303,0.256,0.278,0.24,0.222,0.25,0.294,0.311,0.228,0.344,0.239,0.275,0.279,0.146
